symbol,name,location,NEXUS_SCORE
TP63,tumor protein p63,3q28,99.98999999999998
CDKN2A,cyclin dependent kinase inhibitor 2A,9p21.3,99.08029172707927
NFKB1,nuclear factor kappa B subunit 1,4q24,97.45351129342347
PAPPA,pappalysin 1,9q33.1,95.1638063289997
FOXM1,forkhead box M1,12p13.33,94.64296624173238
PRKDC,"protein kinase, DNA-activated, catalytic subunit",8q11.21,92.91862663178728
GTF2H2,general transcription factor IIH subunit 2,5q13.2,92.7639863896872
AGTR1,angiotensin II receptor type 1,3q24,92.13195580236876
TERT,telomerase reverse transcriptase,5p15.33,90.8309082107467
ATR,ATR checkpoint kinase,3q23,90.50291546174465
